breadth,stop_atr,target_atr,hold_days,train_trades,train_return,train_win_rate,train_pf,train_dd,oos_trades,oos_return,oos_win_rate,oos_pf,oos_dd
0.5,2.0,3.5,10,22,0.19460665433401503,0.7727272727272727,4.898534147192689,-0.022288852101497225,29,0.15118377199124344,0.6551724137931034,2.4020809902601328,-0.04051245748473347
0.5,2.0,3.5,12,21,0.21525814269139953,0.8571428571428571,8.210651743329523,-0.030883723321327466,28,0.18816645364394247,0.7142857142857143,3.231449285071818,-0.04051245748473347
0.5,2.0,4.0,10,21,0.14495415868895623,0.6666666666666666,2.947424868035031,-0.023722668144902995,26,0.1427986587703025,0.6923076923076923,2.5909752179463683,-0.04051245748473347
0.5,2.0,4.0,12,18,0.17571675855721214,0.7777777777777778,5.178366031731595,-0.021869437645268067,25,0.11087381543339059,0.6,2.2198174425218893,-0.04298370484411201
0.5,2.25,3.0,10,21,0.11402073392438461,0.7142857142857143,3.243961514352944,-0.01996460569249852,32,0.15482539636675496,0.71875,2.5237539798085056,-0.038770874434403586
0.5,2.25,3.0,12,20,0.12958350152548537,0.8,4.213255999782485,-0.021282227572500565,30,0.163405961607217,0.7,2.820554025643048,-0.038770874434403586
0.5,2.25,3.5,10,20,0.15645167216518052,0.8,4.936428231495555,-0.021122037600986715,29,0.12263585522709297,0.6551724137931034,2.1649997771710696,-0.038770874434403586
0.5,2.25,3.5,12,20,0.19945980642380445,0.9,12.667456563283427,-0.027786073690073954,28,0.157229131481333,0.7142857142857143,2.9121405348086817,-0.038770874434403586
0.5,2.25,4.0,10,21,0.16019326516479437,0.7619047619047619,4.322441168093479,-0.019808947744526077,26,0.11649882154972002,0.6923076923076923,2.319460841682969,-0.038770874434403586
0.5,2.25,4.0,12,18,0.14110352591882136,0.7222222222222222,3.8648354158433786,-0.02431041352906554,25,0.09473882169415826,0.6,2.1380506812450832,-0.038770874434403586
