breadth,stop_atr,target_atr,hold,trades_train,return_train,win_train,pf_train,dd_train,final_train,trades_oos,return_oos,win_oos,pf_oos,dd_oos,final_oos
0.46,1.75,3.0,12,23,0.13821628832781485,0.6521739130434783,2.736771044590787,-0.02293227486194505,113821628.83278148,30,0.21088403386483545,0.7,3.0834689565397695,-0.047786346134091856,121088403.38648354
0.46,1.25,3.0,7,24,0.1520538755485199,0.625,2.6749792164378405,-0.02935309713932993,115205387.55485198,39,0.2134383661551158,0.5897435897435898,2.293337897424014,-0.0640490190296681,121343836.61551158
0.38,1.75,4.0,10,29,0.19353671344939483,0.6206896551724138,2.6171845511484784,-0.07164452043946247,119353671.34493949,27,0.22760050113405472,0.7407407407407407,3.858279123635891,-0.04615562142228441,122760050.11340548
0.5,1.5,2.5,7,25,0.1421900008754735,0.68,2.61700244394663,-0.028582578714017405,114219000.08754736,38,0.1619075055243575,0.631578947368421,2.063246349062868,-0.051899318530950866,116190750.55243574
0.5,2.0,2.5,7,25,0.11113883860511553,0.72,2.6116048072757576,-0.022004191201560358,111113883.86051156,40,0.1568400478048182,0.725,2.3243334534606883,-0.04051245748473347,115684004.78048182
0.5,2.0,2.5,10,25,0.11605370743718724,0.72,2.595615478603466,-0.022483971673812924,111605370.74371871,37,0.1503785455075044,0.6756756756756757,2.13958190443349,-0.04063536848408188,115037854.55075045
0.46,1.75,2.5,7,25,0.12613603987135624,0.68,2.591857391650062,-0.02475542139310913,112613603.98713563,39,0.18174155265888947,0.717948717948718,2.500955180621207,-0.047786346134091856,118174155.26588894
0.38,2.0,2.5,12,32,0.15423605129064266,0.71875,2.585279607324539,-0.03232988751063927,115423605.12906428,36,0.16134282352279672,0.6666666666666666,2.4099397162463236,-0.04332761364533739,116134282.35227968
0.5,1.25,3.0,10,23,0.15534990240668334,0.6086956521739131,2.683642057974526,-0.035982712113620294,115534990.24066833,37,0.17823558247328664,0.5405405405405406,1.9912807839206872,-0.060950895008652216,117823558.24732867
0.46,1.75,2.5,10,25,0.13178636072677574,0.68,2.576734450779033,-0.02530358578558703,113178636.07267757,36,0.15492994533633242,0.6388888888888888,2.107329734228294,-0.047786346134091856,115492994.53363323
