breadth,stop_atr,target_atr,hold,trades,return,win_rate,pf,dd,final,score
0.42,1.25,3.5,12,51,0.5409556724387312,0.6470588235294118,3.3383096368095373,-0.07200552930423407,154095567.24387312,13.890544396201234
0.46,1.5,3.5,12,50,0.507521136523067,0.68,3.345051847194309,-0.10022774942435424,150752113.6523067,13.871614650588127
0.5,1.75,4.0,7,55,0.5028833440245408,0.6909090909090909,3.326614889670811,-0.04596644803160217,150288334.40245408,13.820905133237439
0.46,1.25,3.5,12,49,0.4914040116455105,0.6530612244897959,3.3238255811005972,-0.09558935743197793,149140401.16455105,13.7715647185564
0.5,1.5,4.0,10,51,0.5679556312093252,0.6666666666666666,3.290273769558494,-0.05564189250439091,156795563.12093252,13.734563096524438
0.46,1.5,3.5,10,52,0.4887031100305965,0.6923076923076923,3.2937542270514237,-0.09113200810927603,148870311.00305966,13.652769398797039
0.46,2.0,3.0,12,54,0.41370357979867456,0.7037037037037037,3.302646293678033,-0.07193327787535236,141370357.97986746,13.623507300758316
0.46,1.25,3.5,10,54,0.5280822072240805,0.6666666666666666,3.270845742227516,-0.08328085788392077,152808220.72240806,13.603158080525517
0.5,1.75,4.0,12,47,0.45256073151788945,0.6170212765957447,3.234704033360067,-0.060579079539531205,145256073.15178895,13.39193838901818
0.38,1.75,3.5,10,58,0.44420768459512616,0.6724137931034483,3.215112609078093,-0.07164452043946247,144420768.45951262,13.302456550342939
0.38,1.75,4.0,10,55,0.4697206482854148,0.6727272727272727,3.2018927521797407,-0.07164452043946247,146972064.8285415,13.27510576042101
0.5,1.5,3.5,10,52,0.5062408074150655,0.6923076923076923,3.170070112112678,-0.052388121139071785,150624080.74150655,13.194942579911627
0.42,1.5,3.5,12,52,0.5199468269511434,0.6730769230769231,3.167272886400788,-0.07689901196108374,151994682.69511434,13.184242712727599
0.38,1.5,3.5,12,58,0.5398830925357041,0.6551724137931034,3.159182395521138,-0.0757344911007246,153988309.2535704,13.171504049759548
0.42,1.5,4.0,10,54,0.5675934277036354,0.6481481481481481,3.063896306890585,-0.07302741442345011,156759342.77036354,12.819072355461657
0.5,2.0,3.5,10,51,0.39040285385504614,0.6862745098039216,3.0853496755806256,-0.05294406861473251,139040285.3855046,12.739643247360378
0.5,1.75,4.0,10,49,0.44005892356352216,0.6530612244897959,3.0728330187609783,-0.052155333165979444,144005892.3563522,12.737966393248934
0.5,1.5,4.0,12,49,0.5035772764739428,0.6122448979591837,3.027205066733806,-0.05962556770722773,150357727.64739427,12.61319700445351
0.42,1.5,4.0,12,51,0.5177619359507633,0.6078431372549019,3.0101018464042455,-0.10769265108041887,151776193.59507632,12.534715152890282
0.46,1.5,4.0,10,52,0.5157812632677308,0.6538461538461539,2.9988742013154908,-0.07302741442345011,151578126.32677308,12.507456669010278
0.5,2.0,4.0,12,43,0.31403319273895325,0.6511627906976745,3.041021032740068,-0.05173294797905692,131403319.27389532,12.48480898924458
0.46,1.75,3.0,10,57,0.4245385023092758,0.6666666666666666,3.0142209368362636,-0.08246660090244569,142453850.2309276,12.47352228253644
0.42,1.5,3.5,10,54,0.48461734974160064,0.6666666666666666,2.985507104577386,-0.07606731642007741,148461734.97416008,12.42194544317444
0.46,1.75,4.0,7,56,0.461096692070323,0.6785714285714286,2.97604903026041,-0.06458094808760696,146109669.2070323,12.36693091049673
0.5,2.0,3.0,12,54,0.38063023697913234,0.6851851851851852,2.978621825013211,-0.06219566778286709,138063023.69791323,12.298278962399804
0.42,1.75,4.0,12,47,0.4104822311162739,0.5957446808510638,2.9765989944925617,-0.09860936154068439,141048223.1116274,12.297360762358732
0.46,1.75,4.0,12,47,0.4104822311162739,0.5957446808510638,2.9765989944925617,-0.09860936154068439,141048223.1116274,12.297360762358732
0.46,1.75,4.0,10,49,0.41375534681420745,0.6530612244897959,2.969959955629433,-0.06734750240057748,141375534.68142074,12.292574479356142
0.5,1.25,3.0,12,55,0.4728304361191369,0.6363636363636364,2.94228883044085,-0.05776696275350333,147283043.61191368,12.244920458323966
0.42,1.25,3.5,10,57,0.5224259567046368,0.631578947368421,2.9296571286890427,-0.06882003323453237,152242595.67046368,12.238223402211963
0.5,1.5,4.0,7,57,0.5271363036009371,0.631578947368421,2.915550486656504,-0.04665815406412339,152713630.3600937,12.197588120563314
0.38,1.25,3.5,12,61,0.5695853581560806,0.6065573770491803,2.872305761791928,-0.07707549592282166,156958535.81560805,12.050598526214841
0.38,1.5,4.0,10,57,0.4971569641111908,0.6491228070175439,2.8817016863103255,-0.08474033831258032,149715696.41111907,12.01404968054708
